receipt_date,region,channel,brand,total_sum,total_sum_pct
2019-08-01,Ленинградская область,chain,marlboro,24311.00,0.30
2019-08-01,Ленинградская область,chain,parliament,57789.00,0.70
2019-08-01,Ленинградская область,nonchain,marlboro,1627.00,0.29
2019-08-01,Ленинградская область,nonchain,parliament,3896.00,0.71
2019-08-01,Московская область,chain,marlboro,23554.00,0.29
2019-08-01,Московская область,chain,parliament,57235.00,0.71
2019-08-01,Московская область,nonchain,marlboro,119.00,0.01
2019-08-01,Московская область,nonchain,parliament,8713.00,0.99
2019-08-01,Новосибирская область,chain,marlboro,23534.00,0.27
2019-08-01,Новосибирская область,chain,parliament,62125.00,0.73
2019-08-01,Новосибирская область,nonchain,marlboro,936.00,0.14
2019-08-01,Новосибирская область,nonchain,parliament,5530.00,0.86
2019-08-01,Санкт-Петербург,chain,marlboro,55852.00,0.46
2019-08-01,Санкт-Петербург,chain,parliament,64734.00,0.54
2019-08-01,Санкт-Петербург,nonchain,marlboro,2644.00,0.12
2019-08-01,Санкт-Петербург,nonchain,parliament,19508.00,0.88
2019-08-01,Свердловская область,chain,marlboro,9784.00,0.17
2019-08-01,Свердловская область,chain,parliament,47894.00,0.83
2019-08-01,Свердловская область,nonchain,marlboro,3487.00,0.23
2019-08-01,Свердловская область,nonchain,parliament,11967.00,0.77
2019-08-01,г. Москва,chain,marlboro,38653.00,0.28
2019-08-01,г. Москва,chain,parliament,101694.00,0.72
2019-08-01,г. Москва,nonchain,marlboro,3132.00,0.29
2019-08-01,г. Москва,nonchain,parliament,7601.00,0.71
2019-08-02,Ленинградская область,chain,marlboro,34538.00,0.37
2019-08-02,Ленинградская область,chain,parliament,58928.00,0.63
2019-08-02,Ленинградская область,nonchain,marlboro,3943.00,0.50
2019-08-02,Ленинградская область,nonchain,parliament,3941.00,0.50
2019-08-02,Московская область,chain,marlboro,28201.00,0.33
2019-08-02,Московская область,chain,parliament,57069.00,0.67
2019-08-02,Московская область,nonchain,marlboro,1374.00,0.11
2019-08-02,Московская область,nonchain,parliament,10995.00,0.89
2019-08-02,Новосибирская область,chain,marlboro,26838.00,0.23
2019-08-02,Новосибирская область,chain,parliament,87866.00,0.77
2019-08-02,Новосибирская область,nonchain,marlboro,460.00,0.06
2019-08-02,Новосибирская область,nonchain,parliament,6679.00,0.94
2019-08-02,Санкт-Петербург,chain,marlboro,52242.00,0.40
2019-08-02,Санкт-Петербург,chain,parliament,77293.00,0.60
2019-08-02,Санкт-Петербург,nonchain,marlboro,1055.00,0.11
